ID;ACTIVO;NOMBRE;CATEGORIA PADRE;RAIZ;DESCRIPCION
0018;1;PRODUCTOS DE LIMPIEZA;PRODUCTOS DE LIMPIEZA;0;Productos de limpieza
0002;1;MAQUINARIA;MAQUINARIA;0;Maquinaria
0003;1;EQUIPAMIENTOS;EQUIPAMIENTOS;0;Equipamientos
0004;1;VESTUARIO;VESTUARIO;0;Vestuario
0005;1;PROTECCIONES;PROTECCIONES;0;Protecciones
0006;1;PISCINAS;PRODUCTOS DE LIMPIEZA;0;Productos especificos para piscinas
0007;1;CELULOSA;PRODUCTOS DE LIMPIEZA;0;Celulosa
0008;1;UTILES;PRODUCTOS DE LIMPIEZA;0;Utiles
0009;1;BOLSAS Y SACOS;PRODUCTOS DE LIMPIEZA;0;Bolsas y sacos de plastico
0010;1;CARROS;MAQUINARIA;0;Carros
0011;1;PROTECCION PIES;PROTECCIONES;0;Protecciones para los pies
0012;1;PROTECCION MANOS;PROTECCIONES;0;Protecciones para las manos
0013;1;PROTECCION RESPIRATORIA;PROTECCIONES;0;Proteccion respiratoria
0014;1;PROTECCION AUDITIVA;PROTECCIONES;0;Proteccion auditiva
0015;1;PROTECCION DE LA CABEZA;PROTECCIONES;0;Proteccion de la cabeza
0016;1;PROTECCION FACIAL;PROTECCIONES;0;Proteccion facial
0017;1;ANTICAIDAS;PROTECCIONES;0;Proteccion frente a caidas y golpes
